alias_name,alias_city,alias_nation,venue_id
Junction Oval,Melbourne,Australia,18aus96
R Premadasa Stadium,Colombo,Sri Lanka,1lka97
R.Premadasa Stadium,Colombo,Sri Lanka,1lka97
Chilaw Marians Cricket Club Ground,FTZ Sports Complex,Sri Lanka,2lka98
Pallekele International Cricket Stadium,Kandy,Sri Lanka,3lka99
P Sara Oval,Colombo,Sri Lanka,4lka100
Sinhalese Sports Club Ground,Colombo,Sri Lanka,5lka101
Rangiri Dambulla International Stadium,Dambulla,Sri Lanka,6lka102
Galle International Stadium,Galle,Sri Lanka,7lka103
Colts Cricket Club Ground,Colombo,Sri Lanka,8lka104
Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka,9lka105
Mercantile Cricket Association Ground,Colombo,Sri Lanka,10lka106
Colombo Cricket Club Ground,Colombo,Sri Lanka,11lka107
Nondescripts Cricket Club Ground,Colombo,Sri Lanka,12lka108
Sophia Gardens,Cardiff,Wales,1wal109
Woodley Cricket Field,Los Angeles,United States of America,1usa110
Nassau County International Cricket Stadium,New York,United States of America,2usa111
Central Broward Regional Park Stadium Turf Ground,Lauderhill,United States of America,3usa112
Prairie View Cricket Complex,Houston,United States of America,4usa113
Grand Prairie Stadium,Dallas,United States of America,5usa114
Providence Stadium,Guyana,Guyana,1guy115
Providence Stadium,Providence,Guyana,1guy115
Malahide,Dublin,Ireland,1irl116
The Village,Dublin,Ireland,1irl116
YMCA Cricket Club,Dublin,Ireland,2irl117
Castle Avenue,Dublin,Ireland,3irl118
Pembroke Cricket Club,Dublin,Ireland,4irl119
Sydney Parade,Dublin,Ireland,5irl120
County Ground,Northampton,England,16eng121
The Wanderers,Johannesburg,South Africa,4zaf15
