venue_id,venue_name,city,admin_area_1,admin_area_2,nation,nation_code,continent,hemisphere,home_team_id_1,home_team_id_2,latitude,longitude,elevation,dist2coast_coarse,dist2coast_fine,timezone,utc_offset_str
7eng32,Arundel Castle Cricket Club Ground,Arundel,England,West Sussex,England,ENG,Europe,N,engMT20,engFT20,50.858572,-0.557736,40,6,5.212501479965975,Europe/London,+00:00
8eng33,Riverside Ground,Chester-le-Street,England,County Durham,England,ENG,Europe,N,engMT20,engFT20,54.8496667,-1.5609563,10,14,13.502194070070606,Europe/London,+00:00
9eng34,The Cooper Associates County Ground,Taunton,England,Somerset,England,ENG,Europe,N,engMT20,engFT20,51.018911,-3.100876,15,18,20.34820648662581,Europe/London,+00:00
10eng35,Kennington Oval,London,England,Greater London,England,ENG,Europe,N,engMT20,engFT20,51.483728,-0.114911,13,25,42.96051557827742,Europe/London,+00:00
11eng36,St Lawrence Ground,Canterbury,England,Kent,England,ENG,Europe,N,engMT20,engFT20,51.267457,1.091631,36,11,10.864288818664164,Europe/London,+00:00
12eng37,Headingley,Leeds,England,City and Borough of Leeds,England,ENG,Europe,N,engMT20,engFT20,53.817671,-1.582084,76,54,76.04846169981887,Europe/London,+00:00
13eng38,Haslegrave Ground,Loughborough,England,Leicestershire,England,ENG,Europe,N,engMT20,engFT20,52.7673311,-1.2301281,55,83,81.226251753769,Europe/London,+00:00
14eng39,County Ground,Chelmsford,England,Essex,England,ENG,Europe,N,engMT20,engFT20,51.7315576,0.4689649,24,15,13.17591516610645,Europe/London,+00:00
15eng40,County Ground,Bristol,England,Bristol,England,ENG,Europe,N,engMT20,engFT20,51.4770612,-2.5843087,55,8,9.153941064077785,Europe/London,+00:00
1nzl41,AMI Stadium,Christchurch,Canterbury,Christchurch City,New Zealand,NZL,Oceania,S,nzlMT20,nzlFT20,-43.542261,172.654193,3,5,4.025146921689403,Pacific/Auckland,+13:00
2nzl42,Sky Stadium,Wellington,Wellington,Wellington City,New Zealand,NZL,Oceania,S,nzlMT20,nzlFT20,-41.2730528,174.7858728,10,0,0.1950997101377248,Pacific/Auckland,+13:00
3nzl43,University Oval,Dunedin,Otago,Dunedin City,New Zealand,NZL,Oceania,S,nzlMT20,nzlFT20,-45.8657341,170.5255193,9,0,0.612951704594546,Pacific/Auckland,+13:00
4nzl44,Eden Park,Auckland,Auckland,Auckland,New Zealand,NZL,Oceania,S,nzlMT20,nzlFT20,-36.874985,174.744775,38,3,3.12570674477485,Pacific/Auckland,+13:00
5nzl45,Hagley Oval,Christchurch,Canterbury,Christchurch City,New Zealand,NZL,Oceania,S,nzlMT20,nzlFT20,-43.5344119,172.618646,4,7,7.024180331805873,Pacific/Auckland,+13:00
6nzl46,McLean Park,Napier,Hawke's Bay,Napier City,New Zealand,NZL,Oceania,S,nzlMT20,nzlFT20,-39.5018431,176.9125267,13,1,0.6170699406943687,Pacific/Auckland,+13:00
7nzl47,Bay Oval,Mount Maunganui,Bay of Plenty,Tauranga City,New Zealand,NZL,Oceania,S,nzlMT20,nzlFT20,-37.6528558,176.1907126,10,0,0.7454863962471674,Pacific/Auckland,+13:00
8nzl48,Seddon Park,Hamilton,Waikato,Hamilton City,New Zealand,NZL,Oceania,S,nzlMT20,nzlFT20,-37.7867613,175.2742998,46,27,26.53535952623161,Pacific/Auckland,+13:00
9nzl49,Saxton Oval,Nelson,Tasman,Tasman District,New Zealand,NZL,Oceania,S,nzlMT20,nzlFT20,-41.3309414,173.2128396,14,2,0.5923732715386739,Pacific/Auckland,+13:00
10nzl50,Pukekura Park,New Plymouth,Taranaki,New Plymouth District,New Zealand,NZL,Oceania,S,nzlMT20,nzlFT20,-39.062777,174.079292,36,2,0.9530183555839374,Pacific/Auckland,+13:00
1bmu51,White Hill Field,Hog Bay,Hamilton city,,Bermuda,BMU,America,N,bmuMT20,bmuFT20,32.271763,-64.873785,20,0,0.366053877482944,Atlantic/Bermuda,-04:00
11nzl52,Basin Reserve,Wellington,Wellington,Wellington City,New Zealand,NZL,Oceania,S,nzlMT20,nzlFT20,-41.3003599,174.7802545,12,1,1.1140048001202305,Pacific/Auckland,+13:00
12nzl53,John Davies Oval,Queenstown,Otago,Queenstown-Lakes District,New Zealand,NZL,Oceania,S,nzlMT20,nzlFT20,-45.0160798,168.7385342,358,76,73.9703347737777,Pacific/Auckland,+13:00
1are54,Zayed Cricket Stadium,Abu Dhabi,Abu Dhabi,,United Arab Emirates,ARE,Asia,N,areMT20,areFT20,24.39656,54.540737,3,3,2.077990962758149,Asia/Dubai,+04:00
2are55,ICC Academy Ground No 1,Dubai,Dubai,,United Arab Emirates,ARE,Asia,N,areMT20,areFT20,25.036574,55.227627,19,11,9.6023857744043,Asia/Dubai,+04:00
3are56,Dubai International Cricket Stadium,Dubai,Dubai,,United Arab Emirates,ARE,Asia,N,areMT20,areFT20,25.0467384,55.219007,28,10,8.273687094738316,Asia/Dubai,+04:00
4are57,Sharjah Cricket Stadium,Sharjah,Ash Shariqah,,United Arab Emirates,ARE,Asia,N,areMT20,areFT20,25.3308493,55.4208718,13,5,3.122390957921103,Asia/Dubai,+04:00
5are58,Malek Cricket Ground,Ajman,Ajman,,United Arab Emirates,ARE,Asia,N,areMT20,areFT20,25.402684,55.560217,25,8,6.589837156498764,Asia/Dubai,+04:00
6are59,ICC Academy Ground No 2,Dubai,Dubai,,United Arab Emirates,ARE,Asia,N,areMT20,areFT20,25.037763,55.228455,18,11,9.602193400006175,Asia/Dubai,+04:00
7are60,Tolerance Oval,Abu Dhabi,Abu Dhabi,,United Arab Emirates,ARE,Asia,N,areMT20,areFT20,24.39701,54.5384896,3,3,1.8506794717569268,Asia/Dubai,+04:00
8are61,7he Sevens Stadium,Dubai,Dubai,,United Arab Emirates,ARE,Asia,N,areMT20,areFT20,24.998626,55.466277,84,33,25.26993881812261,Asia/Dubai,+04:00
1zwe62,Harare Sports Club,Harare,Harare,,Zimbabwe,ZWE,Africa,S,zweMT20,zweFT20,-17.81406,31.050903,1497,428,,Africa/Harare,+02:00
2zwe63,Bulawayo Athletic Club,Bulawayo,Bulawayo,,Zimbabwe,ZWE,Africa,S,zweMT20,zweFT20,-20.164832,28.593515,1346,633,,Africa/Harare,+02:00
3zwe64,Old Hararians,Harare,Harare,,Zimbabwe,ZWE,Africa,S,zweMT20,zweFT20,-17.814752,31.027965,1472,430,,Africa/Harare,+02:00
4zwe65,Takashinga Sports Club,Harare,Harare,,Zimbabwe,ZWE,Africa,S,zweMT20,zweFT20,-17.8876142,30.9904688,1438,430,,Africa/Harare,+02:00
5zwe66,Queens Sports Club,Bulawayo,Bulawayo,,Zimbabwe,ZWE,Africa,S,zweMT20,zweFT20,-20.145104,28.58898,1342,633,,Africa/Harare,+02:00
1vct67,Arnos Vale Ground,Kingstown,Saint George,,Saint Vincent and the Grenadines,VCT,America,N,wiMT20,wiFT20,13.141858,-61.211822,4,2,0.1215877155274991,America/St_Vincent,-04:00
1atg68,Coolidge Cricket Ground,Coolidge,Saint George,,Antigua and Barbuda,ATG,America,N,wiMT20,wiFT20,17.140955,-61.794785,19,1,1.058515075835815,America/Antigua,-04:00
2atg69,Sir Vivian Richards Stadium,North Sound,Saint Peter,,Antigua and Barbuda,ATG,America,N,wiMT20,wiFT20,17.103277,-61.784919,7,2,1.1114578486802418,America/Antigua,-04:00
1lca70,Daren Sammy National Cricket Stadium,Gros Islet,Gros-Islet,,Saint Lucia,LCA,America,N,wiMT20,wiFT20,14.070506,-60.931718,12,2,1.5961807037992977,America/St_Lucia,-04:00
1brb71,Kensington Oval,Bridgetown,Saint Michael,,Barbados,BRB,America,N,wiMT20,wiFT20,13.105027,-59.622529,5,1,0.3452174431983591,America/Barbados,-04:00
1bgd72,Shere Bangla National Stadium,Dhaka,Dhaka,,Bangladesh,BGD,Asia,N,bgdMT20,bgdFT20,23.806924,90.363594,13,120,148.9075399718241,Asia/Dhaka,+06:00
