match_id,innings,overs,balls,batter_id,bowler_id,non_striker_id,runs_batter,runs_extras,runs_total,runs_batter_non_boundary,wickets,player_out_id,how_out,fielder1_id,fielder2_id,fielder3_id,wickets2,player_out2_id,how_out2,extras_byes,extras_legbyes,extras_noballs,extras_penalty,extras_wides,sex,powerplay,super_over,death_overs,middle_overs,bowl_hand,bowl_style
1442989,1,6,4,271f83cd,de3d549a,b4b99816,0,0,0,,1,271f83cd,caught,a97c8ec2,,,0,,,0,0,0,0,0,male,1,0,0,0,R,Seam
1442989,1,6,5,a4e37e47,de3d549a,b4b99816,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,R,Seam
1442989,1,6,6,a4e37e47,de3d549a,b4b99816,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,R,Seam
1442989,1,7,1,b4b99816,a5c48ed1,a4e37e47,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Seam
1442989,1,7,2,a4e37e47,a5c48ed1,b4b99816,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Seam
1442989,1,7,3,a4e37e47,a5c48ed1,b4b99816,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Seam
1442989,1,7,4,b4b99816,a5c48ed1,a4e37e47,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Seam
1442989,1,7,5,a4e37e47,a5c48ed1,b4b99816,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Seam
1442989,1,7,6,a4e37e47,a5c48ed1,b4b99816,2,0,2,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Seam
1442989,1,8,1,b4b99816,de3d549a,a4e37e47,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Seam
1442989,1,8,2,a4e37e47,de3d549a,b4b99816,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Seam
1442989,1,8,3,a4e37e47,de3d549a,b4b99816,2,0,2,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Seam
1442989,1,8,4,a4e37e47,de3d549a,b4b99816,2,0,2,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Seam
1442989,1,8,5,a4e37e47,de3d549a,b4b99816,2,0,2,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Seam
1442989,1,8,6,a4e37e47,de3d549a,b4b99816,0,1,1,,0,,,,,,0,,,0,0,0,0,1,male,0,0,0,1,R,Seam
1442989,1,8,7,a4e37e47,de3d549a,b4b99816,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Seam
1442989,1,9,1,a4e37e47,1be67d37,b4b99816,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Offbreak
